Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,FoerderungPhase1,DM_DFG_Mittel
0,26,93,0,9.800000000000001,91,4.827200023705361,3.99575672134893,404.39999,.40439999,0,0,1,0,21.15050009494698
0,27,93,0,3,1.2,.0015624999993161,.3592676521723557,15.8,.028999999,.00020000001,.00040000002,1,0,21.15050009494698
0,29,93,0,5,8.1999998,.1509304386299513,1.002779465824818,166,.35499999,0,0,1,0,21.15050009494698
0,30,93,0,0,,0,,344.39999,.34439999,0,0,1,0,21.15050009494698
0,31,93,1,56.4,476.60001,23.8291826049848,23.04237550244783,3207.6001,3.2614,.67180002,.088599995,1,1,21.15050009494698
0,32,93,0,23.6,50.599998,.2855195819932614,6.203469256438737,500,.722,.17539999,.0328,1,0,21.15050009494698
0,34,93,0,2,1,.0046731259975694,.417420339631968,63.400002,.069600001,0,0,1,0,21.15050009494698
0,36,93,0,6,8.6000004,.0716859876379515,1.573925278679233,213,.39300001,.003,.0012000001,1,0,21.15050009494698
0,37,93,0,29.4,148,5.8577224239304,7.280830402961283,567.59998,.58499998,2.904,.2464,1,0,21.15050009494698
0,38,93,0,5,9,.1059643905729962,.9969127487882242,323.60001,.32359999,.0144,.003,1,0,21.15050009494698
0,39,93,0,12.6,77.599998,1.432015621929739,4.285936553049968,665.59998,.6656,.14160001,.023200002,1,0,21.15050009494698
0,40,93,0,0,,0,,161.8,.1618,.0022,.00060000003,1,0,21.15050009494698
0,41,93,0,6,22.200001,.386522534274207,1.437811955980282,72.800003,.17399999,0,0,1,0,21.15050009494698
0,42,93,0,19.6,42,.2336149539907006,4.515565270502809,1384.6,1.3845999,.0027999999,.00040000002,1,0,21.15050009494698
0,44,93,0,7,6.4000001,.0244492723666666,1.463049449922838,215.8,.35420001,.00080000004,.0022,1,0,21.15050009494698
0,45,93,0,3.4,2.5999999,.0106607460273387,.6970937363675872,85.599998,.092599995,.00080000004,.0022,1,0,21.15050009494698
0,47,93,0,3.4,16.6,.4984023691363477,.7889147799206105,623.59998,.7392,.00080000004,0,1,0,21.15050009494698
0,48,93,0,5,16.200001,.1324401769696849,1.398041672286351,561.79999,.56440002,.010199999,.0018,1,0,21.15050009494698
0,49,93,0,0,,0,,0,.021200001,0,0,1,0,21.15050009494698
0,50,93,0,0,.5,.0030994175495837,.2314916590348003,137.2,.1372,0,0,1,0,21.15050009494698
0,51,93,0,21.6,121,5.472190915998013,7.695144685643638,666.20001,.66620004,.0064000003,.003,1,0,21.15050009494698
0,52,93,0,9.6,40.200001,1.177577742051924,2.524241890378061,371.20001,.37120003,0,0,1,0,21.15050009494698
0,53,93,0,0,,0,,589.79999,.5898,.0020000001,.0012000001,1,0,21.15050009494698
0,55,93,0,0,,0,,742.40002,.74240005,0,0,1,0,21.15050009494698
0,56,93,0,24.2,103,2.479708911399952,6.496742038078871,1545,1.545,.0482,.0093999999,1,0,21.15050009494698
0,6,94,0,12.2,25,0,,0,.0255,0,.00020000001,1,0,5.046558749292517
0,8,94,0,15,44.400002,3.34976436408956,7.856025939199656,373.79999,.47679999,.00020000001,.00060000003,1,0,5.046558749292517
0,10,94,0,0,,0,,56.5,.056499999,0,0,1,0,5.046558749292517
0,12,94,0,0,,0,,48.599998,.048599999,.3628,.012800001,1,0,5.046558749292517
0,15,94,0,21.4,42,4.065463617308526,11.18115652932541,727.20001,.76859999,.071199998,.0142,1,0,5.046558749292517
0,23,94,0,1,1.25,0,,,0,.00025000001,0,1,0,5.046558749292517
0,25,94,0,16.2,65.800003,0,,552.40002,.55240005,.027799999,.0016000001,1,0,5.046558749292517
0,26,94,0,3.8,12,0,,442.39999,.48160002,0,0,1,0,5.046558749292517
0,31,94,0,41.4,170,8.547110839535057,19.79190695904068,1191.2,1.3598001,.80040002,.063200004,1,0,5.046558749292517
0,32,94,0,1.8,4,0,,,0,.0308,.0104,1,0,5.046558749292517
0,40,94,0,3.2,17,0,,501,.50099999,.00040000002,.00040000002,1,0,5.046558749292517
0,48,94,0,0,1,0,,,0,.0023333333,.001,1,0,5.046558749292517
0,51,94,0,7.6,18.6,0,,196,.19599999,.0038000001,.00060000003,1,0,5.046558749292517
0,55,94,0,0,,0,,643,.64300001,0,0,1,0,5.046558749292517
0,56,94,0,0,1,0,,21,.021,.014,.0020000001,1,0,5.046558749292517
0,10,95,0,2.8,10,.1061200975646986,.6488630582700605,694.59998,.69459999,.00020000001,.00020000001,1,0,3.545363581865254
0,13,95,0,2,7,0,,,0,.0986,.0112,1,0,3.545363581865254
0,15,95,0,24.4,186,5.987840633999547,12.9036130822683,1363.8,1.3638,.022200001,.0035999999,1,0,3.545363581865254
0,23,95,0,0,,.0004359964359154,.1993368878803688,,0,0,0,1,0,3.545363581865254
