Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,FoerderungPhase1
0,8,82,0,17.2,195,10.49989316091607,14.93112025489988,786.59998,.85299999,.0298,.0044,2,68.62528182287315,0
0,9,82,0,21.4,240.39999,17.3020614477164,15.62197376833287,950.79999,.9508,.1238,.021200001,1,36.22687162008341,0
0,9,82,0,17,247.8,17.93085613297947,15.07107333260331,966.79999,.96679997,.18000001,.019399999,2,68.62528182287315,0
0,10,82,0,0,,0,,652,.65200001,.003,0,1,36.22687162008341,0
0,10,82,0,0,,0,,499,.49900001,.001,0,2,68.62528182287315,0
0,12,82,0,15.6,105.6,3.794830153411578,7.105270905518815,637.20001,.73559999,2.7609999,.1256,1,36.22687162008341,0
0,12,82,0,18.2,110.8,4.246945059929331,6.083638186632094,807,.94080001,4.822,.14739999,2,68.62528182287315,0
1,13,82,0,21.2,201,5.578855292762023,12.88288307716162,578.79999,.6232,4.3189998,.20439999,1,36.22687162008341,0
1,13,82,0,22.4,248.39999,9.221470442466703,10.77659150290678,669.20001,.7816,9.3295994,.24519999,2,68.62528182287315,0
1,15,82,1,22.2,278.20001,12.30273671174441,22.66582291562229,2166.3999,2.1848001,.21799999,.0262,1,36.22687162008341,0
1,15,82,0,22.4,363.20001,26.56154877908142,15.51930246896559,1763.2,1.7772,.53720003,.0392,2,68.62528182287315,1
0,17,82,0,2.2,5.8000002,.113138672140845,.7006262106127794,203,.20299999,.011399999,.0012000001,1,36.22687162008341,0
0,17,82,0,3,6.8000002,.0450688772542721,.6475198394797068,83.599998,.0836,.0274,.0027999999,2,68.62528182287315,0
0,18,82,0,1.8,3,.0008648648648,.3068950887575813,0,.0046000001,0,0,1,36.22687162008341,0
0,18,82,0,0,1,0,.0312519131151582,0,0,.00060000003,.00060000003,2,68.62528182287315,0
0,20,82,0,4,13.8,.2908278150707223,1.454579150473067,908.40002,.9084,.0052,.00020000001,1,36.22687162008341,0
0,20,82,0,4,23,.5834994169307609,1.559843004558434,613.20001,.61320001,.019200001,.0020000001,2,68.62528182287315,0
0,21,82,0,11.4,61.400002,2.963195593215135,4.928108021115074,220.60001,.22060001,.39220002,.0374,1,36.22687162008341,0
0,21,82,0,10.8,81,3.82022095145413,4.145922050485364,528.79999,.52880001,.99759996,.062600002,2,68.62528182287315,0
0,22,82,0,9.4,30.6,1.00274599902731,2.165035768542853,589.20001,.89200002,.0018,.001,1,36.22687162008341,0
0,22,82,0,9.4,45,1.287171061691187,2.175040727057214,263,.66759998,.0074,.0012000001,2,68.62528182287315,0
0,23,82,0,6,11.6,.1892781022841442,1.149528078894561,295.79999,.35499999,.0012000001,.00040000002,1,36.22687162008341,0
0,23,82,0,5.4,17.4,.2091828430314144,1.14042365721575,145.8,.32660002,.010199999,.0014,2,68.62528182287315,0
0,25,82,1,20.6,109.4,5.134415389557586,6.399865166736989,2226,2.2420001,.43279999,.0416,1,36.22687162008341,0
1,25,82,1,24.4,206,10.49849686816726,6.813155628796795,2042,2.0783999,.62359995,.0502,2,68.62528182287315,1
0,26,82,0,1,3,0,,29,.028999999,0,0,1,36.22687162008341,0
0,26,82,0,.8,3,0,,319,.32260001,0,0,2,68.62528182287315,0
0,27,82,0,2.2,3.5999999,.0026111100818729,.4741380535942986,1,.0272,0,0,1,36.22687162008341,0
0,27,82,0,3.2,7.1999998,.0693485695786332,.4786146170616489,0,.0722,.00060000003,.00060000003,2,68.62528182287315,0
0,28,82,0,0,,0,,73,.072999999,.00040000002,.00020000001,2,68.62528182287315,0
